company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,industry_group,stage_group,year,quarter,month,month_name,year_month,day_of_week,macro_regime,region,laid_off_log,funding_log,severity_magnitude,severity_intensity,prev_event_date,days_since_prior_layoff,event_sequence_number,company_total_events,is_repeated_restructurer,wrri_intensity_comp,wrri_magnitude_comp,wrri_recurrence_comp,wrri_velocity_comp,wrri_score,wrri_category
Madefire,SF Bay Area,,2021-04-29,1.0,Media,https://techcrunch.com/2021/04/29/madefire-shuts-down/,Series B,16.0,United States,2021-04-30,Marketing & Media,Expansion Stage (Series B),2021,2,4,April,2021-04,Thursday,Phase 1: COVID Shock & Virtualization,North America,,2.833213344056216,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
MadeiraMadeira,"Curitiba, Non-U.S.",60.0,2022-08-09,0.03,Retail,https://www.estadao.com.br/link/inovacao/unicornio-madeiramadeira-demite-60-pessoas-em-busca-de-ganho-de-eficiencia/,Series E,338.0,Brazil,2022-08-09,Consumer & Retail,Growth Stage (Series E+),2022,3,8,August,2022-08,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Latin America,4.110873864173311,5.82600010738045,Moderate (41 - 200),Targeted (< 10%),,,1,1,False,1.5,11.2,5.0,5.0,22.7,Lower Risk Exposure
Magic Eden,SF Bay Area,22.0,2023-02-13,,Crypto,https://decrypt.co/121253/layoffs-hit-solana-nft-marketplace-magic-eden-sheds-22-employees,Series B,170.0,United States,2023-02-14,Fintech & Financial Services,Expansion Stage (Series B),2023,1,2,February,2023-02,Monday,Phase 3: Rate Hikes & Tech Contraction,North America,3.1354942159291497,5.14166355650266,Low (<= 40),Unreported,,,1,1,False,8.5,8.5,5.0,5.0,27.0,Lower Risk Exposure
Magic Leap,Miami,1000.0,2020-04-22,0.5,Consumer,https://layoffs.fyi/2020/04/27/magic-leap-laid-off-1000-employees/,Series E,2600.0,United States,2020-04-22,Consumer & Retail,Growth Stage (Series E+),2020,2,4,April,2020-04,Wednesday,Phase 1: COVID Shock & Virtualization,North America,6.90875477931522,7.8636512654486515,Mega-Event (> 500),Existential / Drastic (> 40%),,,1,3,True,25.0,18.8,25.0,5.0,73.8,Elevated Risk Exposure
Magic Leap,Miami,75.0,2024-07-19,,Consumer,https://www.bloomberg.com/news/articles/2024-07-19/magic-leap-cuts-sales-marketing-teams-in-ar-about-face,Series E,4100.0,United States,2024-07-19,Consumer & Retail,Growth Stage (Series E+),2024,3,7,July,2024-07,Friday,Phase 4: AI Pivot & Structural Realignment,North America,4.330733340286331,8.31898612539206,Moderate (41 - 200),Unreported,2020-04-22,1549.0,2,3,True,8.5,11.8,25.0,7.0,52.3,Moderate Risk Exposure
Magic Leap,Miami,193.0,2026-07-20,,Consumer,https://roadtovr.com/magic-leap-lay-off-2026-waveguide-pivot/,Series E,4100.0,United States,2026-07-27,Consumer & Retail,Growth Stage (Series E+),2026,3,7,July,2026-07,Monday,Phase 4: AI Pivot & Structural Realignment,North America,5.267858159063328,8.31898612539206,Moderate (41 - 200),Unreported,2024-07-19,731.0,3,3,True,8.5,14.3,25.0,7.0,54.8,Moderate Risk Exposure
Magicbricks,"Noida, Non-U.S.",250.0,2020-05-17,,Real Estate,https://www.livemint.com/companies/start-ups/job-losses-mount-in-small-startups-unicorns-11589738073416.html,Unknown,300.0,India,2020-05-19,Real Estate & PropTech,Unspecified / Private,2020,2,5,May,2020-05,Sunday,Phase 1: COVID Shock & Virtualization,Asia-Pacific,5.5254529391317835,5.707110264748875,High (201 - 500),Unreported,,,1,1,False,8.5,15.0,5.0,5.0,33.5,Lower Risk Exposure
Magnite,Los Angeles,,2023-01-19,0.06,Marketing,https://seekingalpha.com/news/3926164-magnite-slashes-jobs-by-6-globally-sec-filing,Post-IPO,400.0,United States,2023-01-20,Marketing & Media,Public (Post-IPO),2023,1,1,January,2023-01,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,,5.993961427306569,Unreported,Targeted (< 10%),,,1,1,False,3.0,12.2,5.0,5.0,25.2,Lower Risk Exposure
Mainstreet,SF Bay Area,45.0,2022-05-04,0.3,Finance,https://www.businessinsider.com/mainstreet-lays-off-third-of-employees-market-conditions-2022-5,Series A,64.0,United States,2022-05-05,Fintech & Financial Services,Early Venture (Series A),2022,2,5,May,2022-05,Wednesday,Phase 2: Tech Overhiring & Peak Valuation,North America,3.828641396489095,4.174387269895637,Moderate (41 - 200),Severe (20% - 40%),,,1,1,False,15.0,10.4,5.0,5.0,35.4,Moderate Risk Exposure
Mainvest,Boston,,2024-05-14,1.0,Finance,https://mainvest.notion.site/Investor-Support-Hub-45c61ca735dd4daf8203c28d8945f9ff,Unknown,3.0,United States,2024-05-17,Fintech & Financial Services,Unspecified / Private,2024,2,5,May,2024-05,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,1.3862943611198906,Unreported,Existential / Drastic (> 40%),,,1,1,False,25.0,12.2,5.0,5.0,47.2,Moderate Risk Exposure
Make School,SF Bay Area,,2020-03-27,,Education,https://www.makeschool.com/blog/a-message-of-solidarity-to-our-community,Unknown,,United States,2020-04-16,EdTech & Learning,Unspecified / Private,2020,1,3,March,2020-03,Friday,Phase 1: COVID Shock & Virtualization,North America,,,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
MakeMyTrip,"Gurugram, Non-U.S.",350.0,2020-06-01,0.1,Travel,https://www.livemint.com/companies/news/covid-19-lockdown-makemytrip-to-lay-off-10-of-its-workforce-as-revenues-hit-11591008074698.html,Post-IPO,548.0,India,2020-06-03,Travel & Transportation,Public (Post-IPO),2020,2,6,June,2020-06,Monday,Phase 1: COVID Shock & Virtualization,Asia-Pacific,5.860786223465865,6.3080984415095305,High (201 - 500),Substantial (10% - 20%),,,1,2,True,5.0,15.9,15.0,5.0,40.9,Moderate Risk Exposure
MakeMyTrip,"New Delhi, Non-U.S.",350.0,2020-08-31,0.1,Travel,https://yourstory.com/2020/08/makemytrip-restructuring-layoffs-deep-kalra,Post-IPO,548.0,India,2020-09-02,Travel & Transportation,Public (Post-IPO),2020,3,8,August,2020-08,Monday,Phase 1: COVID Shock & Virtualization,Asia-Pacific,5.860786223465865,6.3080984415095305,High (201 - 500),Substantial (10% - 20%),2020-06-01,91.0,2,2,True,5.0,15.9,15.0,20.0,55.9,Elevated Risk Exposure
MakerBot,New York City,12.0,2020-06-02,,Consumer,Internal memo,Acquired,10.0,United States,2020-06-02,Consumer & Retail,Acquired / Subsidiary,2020,2,6,June,2020-06,Tuesday,Phase 1: COVID Shock & Virtualization,North America,2.5649493574615367,2.3978952727983707,Low (<= 40),Unreported,,,1,1,False,8.5,7.0,5.0,5.0,25.5,Lower Risk Exposure
Malwarebytes,SF Bay Area,125.0,2022-08-17,0.14,Security,https://techcrunch.com/2022/08/17/malwareybytes-layoffs/,Series B,80.0,United States,2022-08-17,Enterprise & Infrastructure,Expansion Stage (Series B),2022,3,8,August,2022-08,Wednesday,Phase 3: Rate Hikes & Tech Contraction,North America,4.836281906951478,4.394449154672439,Moderate (41 - 200),Substantial (10% - 20%),,,1,2,True,7.0,13.1,15.0,5.0,40.1,Moderate Risk Exposure
Malwarebytes,SF Bay Area,100.0,2023-08-31,,Security,https://techcrunch.com/2023/08/31/malwarebytes-layoffs-business-split/,Series B,80.0,United States,2023-08-31,Enterprise & Infrastructure,Expansion Stage (Series B),2023,3,8,August,2023-08,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,4.61512051684126,4.394449154672439,Moderate (41 - 200),Unreported,2022-08-17,379.0,2,2,True,8.5,12.5,15.0,7.0,43.0,Moderate Risk Exposure
Mamaearth,"Gurugram, Non-U.S.",80.0,2023-06-14,,Retail,https://inc42.com/buzz/exclusive-ipo-bound-mamaearth-to-shut-momspressos-mymoney-brand-marketing-vertical/,Unknown,111.0,India,2023-06-14,Consumer & Retail,Unspecified / Private,2023,2,6,June,2023-06,Wednesday,Phase 3: Rate Hikes & Tech Contraction,Asia-Pacific,4.394449154672439,4.718498871295094,Moderate (41 - 200),Unreported,,,1,1,False,8.5,11.9,5.0,5.0,30.4,Lower Risk Exposure
Manhattan Associates,Atlanta,,2026-06-02,0.06,Logistics,https://www.marketwatch.com/story/manhattan-associates-to-cut-6-of-workforce-1ff43c4a,Post-IPO,,United States,2026-06-03,Travel & Transportation,Public (Post-IPO),2026,2,6,June,2026-06,Tuesday,Phase 4: AI Pivot & Structural Realignment,North America,,,Unreported,Targeted (< 10%),,,1,1,False,3.0,12.2,5.0,5.0,25.2,Lower Risk Exposure
ManoMano,"Paris, Non-U.S.",230.0,2023-10-18,0.25,Retail,https://www.lesechos.fr/industrie-services/conso-distribution/face-a-la-deprime-du-bricolage-manomano-reduit-ses-effectifs-dun-quart-1987873,Series F,705.0,France,2023-10-18,Consumer & Retail,Growth Stage (Series E+),2023,4,10,October,2023-10,Wednesday,Phase 3: Rate Hikes & Tech Contraction,Europe,5.442417710521793,6.559615237493242,High (201 - 500),Severe (20% - 40%),,,1,1,False,12.5,14.8,5.0,5.0,37.3,Moderate Risk Exposure
Mapbox,Washington D.C.,,2020-04-06,,Data,LinkedIn,Series C,227.0,United States,2020-05-10,Enterprise & Infrastructure,Late Stage (Series C-D),2020,2,4,April,2020-04,Monday,Phase 1: COVID Shock & Virtualization,North America,,5.429345628954441,Unreported,Unreported,,,1,2,True,8.5,12.2,15.0,5.0,40.7,Moderate Risk Exposure
Mapbox,Washington D.C.,64.0,2023-01-12,,Data,https://twitter.com/MapboxUnion/status/1616127786514796547,Unknown,334.0,United States,2023-01-20,Enterprise & Infrastructure,Unspecified / Private,2023,1,1,January,2023-01,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,4.174387269895637,5.814130531825066,Moderate (41 - 200),Unreported,2020-04-06,1011.0,2,2,True,8.5,11.3,15.0,7.0,41.8,Moderate Risk Exposure
Mapify,"Berlin, Non-U.S.",,2020-08-19,,Travel,https://www.linkedin.com/posts/patrickhaede_yesterday-we-communicated-the-sad-news-that-activity-6702202576349208576-3_BQ/,Seed,1.3,Germany,2020-08-25,Travel & Transportation,Early Stage (Seed),2020,3,8,August,2020-08,Wednesday,Phase 1: COVID Shock & Virtualization,Europe,,0.832909122935104,Unreported,Unreported,,,1,1,False,8.5,12.2,5.0,5.0,30.7,Lower Risk Exposure
Mara,"Nairobi, Non-U.S.",,2022-12-31,,Crypto,https://techcabal.com/2023/06/06/web3-startup-mara-fires-its-marketing-department-as-it-shifts-focus-from-acquiring-new-users/,Seed,23.0,Kenya,2023-06-08,Fintech & Financial Services,Early Stage (Seed),2022,4,12,December,2022-12,Saturday,Phase 3: Rate Hikes & Tech Contraction,Africa,,3.1780538303479458,Unreported,Unreported,,,1,2,True,8.5,12.2,15.0,5.0,40.7,Moderate Risk Exposure
Mara,"Nairobi, Non-U.S.",6.0,2023-06-06,,Crypto,https://techcabal.com/2023/06/06/web3-startup-mara-fires-its-marketing-department-as-it-shifts-focus-from-acquiring-new-users/,Seed,23.0,Kenya,2023-06-08,Fintech & Financial Services,Early Stage (Seed),2023,2,6,June,2023-06,Tuesday,Phase 3: Rate Hikes & Tech Contraction,Africa,1.9459101490553132,3.1780538303479458,Low (<= 40),Unreported,2022-12-31,157.0,2,2,True,8.5,5.3,15.0,20.0,48.8,Moderate Risk Exposure
MariaDB,"Helsinki, Non-U.S.",,2023-02-01,0.08,Data,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001929589/ec0bacf5-b734-418a-abde-4fe0b21d43d8.pdf,Post-IPO,245.0,Finland,2023-02-07,Enterprise & Infrastructure,Public (Post-IPO),2023,1,2,February,2023-02,Wednesday,Phase 3: Rate Hikes & Tech Contraction,Europe,,5.5053315359323625,Unreported,Targeted (< 10%),,,1,2,True,4.0,12.2,15.0,5.0,36.2,Moderate Risk Exposure
MariaDB,SF Bay Area,84.0,2023-10-12,0.28,Data,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001929589/000155837023016381/mrdb-20231012x8k.htm,Post-IPO,272.0,United States,2023-10-12,Enterprise & Infrastructure,Public (Post-IPO),2023,4,10,October,2023-10,Thursday,Phase 3: Rate Hikes & Tech Contraction,North America,4.442651256490317,5.60947179518496,Moderate (41 - 200),Severe (20% - 40%),2023-02-01,253.0,2,2,True,14.0,12.1,15.0,12.0,53.1,Moderate Risk Exposure
Marin Software,SF Bay Area,27.0,2024-09-30,0.26,Marketing,https://www.businesswire.com/news/home/20241031446878/en/Marin-Software-Announces-Third-Quarter-2024-Financial-Results,Post-IPO,99.0,United States,2025-04-16,Marketing & Media,Public (Post-IPO),2024,3,9,September,2024-09,Monday,Phase 4: AI Pivot & Structural Realignment,North America,3.332204510175204,4.605170185988092,Low (<= 40),Severe (20% - 40%),,,1,2,True,13.0,9.0,15.0,5.0,42.0,Moderate Risk Exposure
Marin Software,SF Bay Area,,2025-04-10,1.0,Marketing,https://searchengineland.com/marin-software-shutting-down-454228,Post-IPO,99.0,United States,2025-04-16,Marketing & Media,Public (Post-IPO),2025,2,4,April,2025-04,Thursday,Phase 4: AI Pivot & Structural Realignment,North America,,4.605170185988092,Unreported,Existential / Drastic (> 40%),2024-09-30,192.0,2,2,True,25.0,12.2,15.0,12.0,64.2,Elevated Risk Exposure
